_APXI,2022-11-03T07:00:00+00:00,17250000,17.25M,21560000,21.56M,0.0003,0.03%
_APYX,2022-11-03T07:00:00+00:00,30080000,30.08M,34460000,34.46M,0.0256,2.56%
_ARAV,2022-11-03T07:00:00+00:00,17850000,17.85M,30500000,30.50M,0.011000000000000001,1.10%
_ARBE,2022-11-03T07:00:00+00:00,45380000,45.38M,63290000,63.29M,0.0085,0.85%
_ARC,2022-11-03T07:00:00+00:00,36310000,36.31M,42250000,42.25M,0.0027,0.27%
_ARCE,2022-11-03T07:00:00+00:00,27890000,27.89M,55920000,55.92M,0.0535,5.35%
_ARCK,2022-11-03T07:00:00+00:00,15700000,15.70M,21560000,21.56M,0.0003,0.03%
_ARCT,2022-11-03T07:00:00+00:00,22900000,22.90M,26430000,26.43M,0.1151,11.51%
_ARDC,2022-11-03T07:00:00+00:00,22880000,22.88M,22910000,22.91M,0.0013000000000000002,0.13%
_AREC,2022-11-03T07:00:00+00:00,48810000,48.81M,66379999,66.38M,0.056600000000000004,5.66%
_AREN,2022-11-03T07:00:00+00:00,14620000,14.62M,18260000,18.26M,0.0409,4.09%
_ARGO,2022-11-03T07:00:00+00:00,33020000,33.02M,34970000,34.97M,0.0179,1.79%
_ARHS,2022-11-03T07:00:00+00:00,50770000,50.77M,137840000,137.84M,0.0562,5.62%
_ARIS,2022-11-03T07:00:00+00:00,24590000,24.59M,56970000,56.97M,0.061399999999999996,6.14%
_ARKR,2022-11-03T07:00:00+00:00,1880000,1.88M,3560000,3.56M,0.0092,0.92%
_ARL,2022-11-03T07:00:00+00:00,1460000,1.46M,16149999,16.15M,0.0099,0.99%
_ARMP,2022-11-03T07:00:00+00:00,9730000,9.73M,36000000,36.00M,0.006500000000000001,0.65%
_AROW,2022-11-03T07:00:00+00:00,15420000,15.42M,16489999,16.49M,0.0102,1.02%
_ARQQ,2022-11-03T07:00:00+00:00,24730000,24.73M,121930000,121.93M,0.0342,3.42%
_ARQT,2022-11-03T07:00:00+00:00,57840000,57.84M,59990000,59.99M,0.1185,11.85%
_ARRW,2022-11-03T07:00:00+00:00,21680000,21.68M,35940000,35.94M,0.0001,0.01%
_ARTE,2022-11-03T07:00:00+00:00,20120000,20.12M,25160000,25.16M,0.0005,0.05%
_ARTL,2022-11-03T07:00:00+00:00,2810000,2.81M,2830000,2.83M,0.0256,2.56%
_ARTW,2022-11-03T07:00:00+00:00,2300000,2.30M,4700000,4.70M,0.0038,0.38%
_ARYD,2022-11-03T07:00:00+00:00,14950000,14.95M,19190000,19.19M,0.0335,3.35%
_ASA,2022-11-03T07:00:00+00:00,19230000,19.23M,19290000,19.29M,0.0006,0.06%
_ASC,2022-11-03T07:00:00+00:00,33479999,33.48M,35070000,35.07M,0.041299999999999996,4.13%
_ASG,2022-11-03T07:00:00+00:00,56200000,56.20M,56310000,56.31M,0.0028000000000000004,0.28%
_ASIX,2022-11-03T07:00:00+00:00,27320000,27.32M,28170000,28.17M,0.0125,1.25%
_ASLE,2022-11-03T07:00:00+00:00,39890000,39.89M,51730000,51.73M,0.0148,1.48%
_ASMB,2022-11-03T07:00:00+00:00,47690000,47.69M,48290000,48.29M,0.0311,3.11%
_ASPN,2022-11-03T07:00:00+00:00,38360000,38.36M,40440000,40.44M,0.0671,6.71%
_ASPS,2022-11-03T07:00:00+00:00,9350000,9.35M,16079999,16.08M,0.024100000000000003,2.41%
_ASRT,2022-11-03T07:00:00+00:00,46370000,46.37M,48180000,48.18M,0.1252,12.52%
_ASRV,2022-11-03T07:00:00+00:00,15440000,15.44M,17110000,17.11M,0.0003,0.03%
_ASTI,2022-11-03T07:00:00+00:00,16489999,16.49M,30590000,30.59M,0.0025,0.25%
_ASTS,2022-11-03T07:00:00+00:00,43390000,43.39M,51870000,51.87M,0.2838,28.38%
_ASUR,2022-11-03T07:00:00+00:00,18040000,18.04M,20110000,20.11M,0.011899999999999999,1.19%
_ASYS,2022-11-03T07:00:00+00:00,13480000,13.48M,13890000,13.89M,0.0045000000000000005,0.45%
_ATAX,2022-11-03T07:00:00+00:00,21760000,21.76M,22020000,22.02M,0.0074,0.74%
_ATCX,2022-11-03T07:00:00+00:00,31600000,31.60M,35930000,35.93M,0.0202,2.02%
_ATEX,2022-11-03T07:00:00+00:00,17890000,17.89M,18620000,18.62M,0.0451,4.51%
_ATHA,2022-11-03T07:00:00+00:00,35880000,35.88M,37670000,37.67M,0.051100000000000007,5.11%
_ATHX,2022-11-03T07:00:00+00:00,11740000,11.74M,12930000,12.93M,0.08130000000000001,8.13%
_ATIF,2022-11-03T07:00:00+00:00,3060000,3.06M,9160000,9.16M,0.0281,2.81%
_ATLC,2022-11-03T07:00:00+00:00,4460000,4.46M,14740000,14.74M,0.14550000000000002,14.55%
_ATLO,2022-11-03T07:00:00+00:00,8840000,8.84M,9060000,9.06M,0.0072,0.72%
_ATNM,2022-11-03T07:00:00+00:00,24400000,24.40M,25180000,25.18M,0.016200000000000003,1.62%
_ATOM,2022-11-03T07:00:00+00:00,22490000,22.49M,22940000,22.94M,0.1734,17.34%
_ATRO,2022-11-03T07:00:00+00:00,25140000,25.14M,32080000,32.08M,0.0206,2.06%
_ATTO,2022-11-03T07:00:00+00:00,14440000,14.44M,14600000,14.60M,0.0004,0.04%
_ATXG,2022-11-03T07:00:00+00:00,24660000,24.66M,26690000,26.69M,0.0028000000000000004,0.28%
_ATXI,2022-11-03T07:00:00+00:00,3730000,3.73M,4130000,4.13M,0.0036,0.36%
_ATXS,2022-11-03T07:00:00+00:00,12630000,12.63M,13020000,13.02M,0.0084,0.84%
_ATY,2022-11-03T07:00:00+00:00,50960000,50.96M,57900000,57.90M,0.008100000000000001,0.81%
_AUBN,2022-11-03T07:00:00+00:00,2250000,2.25M,3510000,3.51M,0.0011,0.11%
_AUDC,2022-11-03T07:00:00+00:00,24180000,24.18M,31810000,31.81M,0.005200000000000001,0.52%
_AUGX,2022-11-03T07:00:00+00:00,30910000,30.91M,37420000,37.42M,0.0031,0.31%
_AUID,2022-11-03T07:00:00+00:00,18830000,18.83M,24670000,24.67M,0.018600000000000002,1.86%
_AURA,2022-11-03T07:00:00+00:00,25740000,25.74M,29250000,29.25M,0.0495,4.95%
_AUUD,2022-11-03T07:00:00+00:00,8960000,8.96M,12520000,12.52M,0.0091,0.91%
_AUVI,2022-11-03T07:00:00+00:00,6410000,6.41M,12660000,12.66M,0.0232,2.32%
_AVAC,2022-11-03T07:00:00+00:00,20860000,20.86M,26030000,26.03M,0.0002,0.02%
